PG.ProteinAccessions	[1] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A5_1_22639.htrms.PG.Quantity	[2] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A11_1_22645.htrms.PG.Quantity	[3] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B5_1_22651.htrms.PG.Quantity	[4] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B11_1_22657.htrms.PG.Quantity
O14828	539.8991088867188	564.050537109375	628.4203491210938	632.20361328125
O14832	216.49813842773438	176.48321533203125	138.16925048828125	113.61331176757812
O14841	289.4830322265625	241.8626251220703	237.6582489013672	255.23667907714844
O14867	72.1649169921875	33.17074203491211	NaN	49.682594299316406
O14874	394.91497802734375	316.34197998046875	325.9997863769531	282.9803466796875
O14879	222.36402893066406	213.91061401367188	212.95603942871094	204.58233642578125
O14880	1643.810302734375	1756.0718994140625	1796.269775390625	1867.76025390625
O14893	208.58978271484375	172.2777099609375	182.54937744140625	213.8204345703125
O14907	566.5029296875	489.39569091796875	531.8404541015625	439.6427917480469
O14908	1078.863525390625	1046.2950439453125	1076.97705078125	1127.6541748046875
O14917	147.58079528808594	98.12289428710938	111.00323486328125	114.93146514892578
O14920	189.61814880371094	170.10183715820312	190.7729034423828	194.96612548828125
O14925	1996.102294921875	1876.3907470703125	1948.6922607421875	2016.9296875
O14929	2839.690673828125	2909.98193359375	2942.489990234375	2941.784423828125
O14936	180.90859985351562	192.55970764160156	173.4265899658203	207.1244659423828
O14939	137.5888671875	119.3547592163086	95.2591781616211	78.75584411621094
O14949	433.0157165527344	329.6909484863281	395.6795654296875	387.508544921875
O14950;P19105	4771.75537109375	5016.4912109375	4944.40673828125	5075.798828125
O14957	516.80615234375	488.510986328125	483.381103515625	441.1763610839844
O14964	937.6212768554688	916.4213256835938	885.47314453125	954.4068603515625
O14965	345.660400390625	324.7629089355469	318.9059753417969	346.4673767089844
O14966	326.0275573730469	303.40960693359375	285.09100341796875	332.8300476074219
O14972	NaN	NaN	124.97877502441406	119.125
O14974	1410.6356201171875	1395.411865234375	1376.5498046875	1367.6884765625
O14975	776.2200927734375	884.6143798828125	895.0830688476562	875.4380493164062
O14976	534.4287109375	510.16436767578125	492.1353454589844	503.7904968261719
O14979	14074.201171875	14479.869140625	15159.4599609375	15965.8603515625
O14980	2562.873291015625	2607.79541015625	2519.396484375	2550.947021484375
O14981	502.9951171875	488.3099365234375	531.41357421875	471.5006103515625
O15013	337.6935729980469	337.2762451171875	344.4851989746094	338.7395324707031
O15014	204.68592834472656	153.5428009033203	149.17539978027344	145.3076171875
O15020	560.27880859375	570.2041015625	560.208740234375	569.7786254882812
O15027	1094.9573974609375	1108.566162109375	1123.9097900390625	1078.660400390625
O15031	510.2968444824219	505.5077819824219	492.05364990234375	498.42864990234375
O15040	133.33587646484375	NaN	28.246566772460938	NaN
O15042	1691.55126953125	1633.850341796875	1629.49267578125	1590.4259033203125
O15047	340.26641845703125	318.5102844238281	316.203125	334.00213623046875
O15056	113.97467803955078	126.68868255615234	123.4583511352539	131.43228149414062
O15061	172.98158264160156	149.49705505371094	168.74085998535156	174.5470428466797
O15062	163.21734619140625	210.9358673095703	195.4365997314453	229.02244567871094
