Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A5_1_22639.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A11_1_22645.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B5_1_22651.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B11_1_22657.d
P51692				79650.2	62661.8	58055.5	65980.9
P51784				144615	132796	130668	121923
P51790				4775.27	4864.86	3837.98	4879.54
P51795				13335.5	18937.1	18911.7	17633.6
P51797				5804.37	6290.76		4300.55
P51798				15154.7	16004.6	18159.4	14674.4
P51808				29203	30361.4	31821.4	30830.7
P51809				112647	121916	131981	142696
P51812				50402.6	47758.2	50677	48563.4
P51825				11817.5	7986.89	11113.2	10882.9
P51858				443932	458676	449350	451906
P51946				48787.1	43223	39421	41615.1
P51948				22274.3	23339.7	22628.8	22402.5
P51956				2978.92	3252.39	2448.82	4222.75
P51965				48404.9	44605.6	26179.6	37990.1
P51970				181524	155729	104106	120177
P51991				475938	533575	552189	567404
P52209				557588	558537	561583	567424
P52272				912650	942839	948747	915617
P52292				613405	642815	633773	643820
P52294				68819.6	60255.5	58267.9	51857.3
P52298				79436.2	89365.5	81556.5	92773.3
P52306				89248.8	105753	106903	94056.5
P52429				24319	22366	19716.2	18656.1
P52434				112659	111572	117212	114209
P52435				88889.7	86823.1	97929.4	83135.5
P52564				44743.3	46048.1	47541.2	48036.1
P52565				805106	783342	779206	772291
P52569				106960	99905.8	98499.8	95219.4
P52594				53523.2	56623	56964.8	54245.8
P52597				674598	771677	792551	829290
P52630				16479.1	15711.8	16230.3	32499.2
P52655				77852.2	87396	77124.1	84244.9
P52657				12116	10954.2	12279.8	13914.6
P52701				183267	188282	191649	186384
P52732				76157	79132.7	77443.9	77839.7
P52735				34958.5	33830.3	33849.4	33943.7
P52739				27403.2	21259.7	19651	15650.7
P52747				13465.8	11431.2	13182.5	16246
P52756				25847.9	24303.6	26011.2	23633.7
P52758				64629.4	77181.3	76244.1	85438.6
P52788				180399	198238	214561	216310
P52789				159951	169275	169110	169366
P52815				351740	391701	410766	393436
P52888				130774	141416	126915	139664
P52907				243273	398605	443271	392474
P52943				154107	156347	156201	137599
P52948				96691.8	98143.4	100589	104895
P53004				117180	126341	125366	125140
P53007				49334.1	50859.5	48387.5	48921.1
P53041				91370.6	106320	101986	103592
P53350				54635.7	57695.4	55316.8	57210.9
P53365				15386.4	9466.21	14708.1	12603
P53367				40310.9	37121	37708.8	36533.6
P53384				86446.1	101005	96982.3	104193
P53396				413515	430709	418526	417195
P53567				2629.28	2323.3	4358.05	6564.05
P53582				116979	118917	119961	122120
P53597				156356	165278	158785	164564
P53602				28221.4	26915.4	29204	25147.6
P53609				24099.8	25423.8	22041.2	21476.2
P53611				93149.3	86832.8	78960.3	81614.3
P53618				211623	212976	212608	208999
P53621				344326	339510	351991	349084
P53634				29061.6	23920.2	27037	30917.6
P53667				15416.6	16575.7	17541.5	15119.3
P53675				10418.5	10867.5	11542.7	11259.5
P53677				17306	15833.8	11746.2	16975.2
P53680				28303.5	25216.1	26429	26628.9
P53701				83932.1	84965.7	73824.3	74618.7
P53794				22935.6	23567	20936.2	20503.4
P53803				17853.2	15203.2	15286.7	15420.6
P53804				32420	30208	21485.2	22922.9
P53814				6315.06	5914.98	3618.75	4811.7
P53816				16914.4	14638.6	13794.9	16202.8
P53985				200603	211505	206861	208441
P53990				50508.6	48069.9	51714.4	55602.5
P53992				173902	180026	165367	176094
P53999				1.34275e+06	1.39269e+06	1.29992e+06	1.27891e+06
